,prices,Address,Beds
107,320000," 8 Glin Park , Coolock, Dublin 17",3
108,198000," Mullaghmore, Bawnboy, Co Cavan, H14 PX70",4
109,365000," 59 Stonebridge, Ratoath, Co Meath, A85 NC59.",3
110,1200000," 3b Durham Road, Sandymount, Dublin 4",4
111,395000," 17 Meath Place, South City Centre, Dublin 8",2
112,110000," 84 Woodstream,Coolaney,Co. Sligo,F56CY65",2
113,165000," 64 Ossory Park, Kilkenny, Kilkenny",3
114,440000," 42 Gracefield Road, Artane, Dublin 3, Dublin",4
115,320000," 24 Monalee Manor, Ballymoneen Road, Knocknacarra, Galway City",3
116,675000," 28 Springfield Crescent, Templeogue D6WHF89, Templeogue, Dublin 6W",3
117,385000," 132 Leargan, WDR, Knocknacarra, Galway City",4
118,145000," Aghaloonteen, Lahardane, Ballina, Mayo",2
119,280000," 20 Finglaswood Road, Finglas, Dublin 11",3
120,490000," 22 Grattan Hill , St. Luke's, Cork City, Cork",3
121,385000," 35 Clonliffe Gardens, Drumcondra, Dublin 3 D03 DW08",3
122,795000," Curraghtemple, Nenagh, Tipperary, E45 W562",5
123,320000," 29 An Gleib,Ballivor,Co Meath,C15 C7D7",4
124,1095000," 44 Ormond Road,Rathmines,Dublin 6,DO6R5T8",4
125,395000," ""Aisling"", Skevanish, Innishannon, Cork",4
126,189950," 20 Stoneyford Park, Delvin, Westmeath",3
127,240000," 36 Pococke Upper, Johnswell Road, Kilkenny, Kilkenny",3
128,180000," No 15 Fair Fields, The Close, Adamstown, Wexford",3
129,1000000," The Old Rectory Site,Coolgreany Road,Lamberton,Arklow,Co. Wicklow",5
130,795000," ""Riverview"", Lower Kensington, Coach Hill, Rochestown, Cork, Rochestown, Cork City",4
131,439500," 64a Forest Avenue, Kingswood, Dublin 24",4
132,495000," Blue Haze 22 Main Road, Tallaght, Dublin",3
133,295000," 4 Red Abbey Court, Margaret Street, Cork City, Cork",3
134,210000," 31 Beechwood Gardens, Newcastle West, Limerick",4
135,79950," Ardlougher,Carrick On Shannon,Co Leitrim,N41 Y6D0",2
136,875000," 13 Longwood, Clonskeagh, Dublin 14",4
137,475000," 17 Luttrellstown Oaks, Castleknock,   Dublin 15",3
138,199000," Aghaboneill, Gorvagh, Leitrim",3
139,299000," 16 Holywell Avenue, Swords, County Dublin",2
140,575000," Moyville Cottage,Blacklion,Greystones,Co Wicklow,A63XK85",3
141,825000," 25 Mulgrave Street, Dun Laoghaire, Dublin",7
142,235000," 73 Knockmoyle, Tralee, Kerry",3
143,137500," 1 Water Court, Water Street, Castlepollard",3
144,630000," 84 Abbeyfield, Killester, Dublin 5",2
145,699500," Castledonovan, Drimoleague, West Cork",7
146,450000," 77 Forest Drive, Kingswood, Dublin 24",5
147,245000," 47 Harbour Row, Cobh, Cork",3
148,325000," 121 Cromcastle Road, Coolock, Kilmore, Dublin 5, Kilmore, Dublin 5",4
149,425000," Ballinamore,Kiltimagh,Co Mayo,F12ND29",5
150,240000," 4 Monivea Park, Ballybane, Galway City",3
151,450000," 7 Thirlestane Terrace, Thomas Court, The Liberties, Dublin 8, Dublin",4
152,525000," 8 Thirlestane Terrace, Thomas Court, The Liberties, Dublin 8, Dublin",3
153,375000," 14 Fernley Court, Long Lane, Dublin 8, Dublin",2
154,350000," 6 Harty Place, D08, Portobello, Dublin 8",1
155,450000," 4 Reuben Avenue, D08, Rialto, Dublin 8",3
156,215000," 3 Fitzgerald Place, Rosbrien Road, Limerick City, Limerick",3
157,170000," 12 Abhann Dubh, Portarlington, Laois",2
158,1750000," Cross Street, Loughrea, Co. Galway",3
159,3500000," Currahally, Farnanes, Co. Cork",5
160,585000," 3 Richmond Lane, Off Richmond Hill, Rathmines, Dublin 6",3
161,399950," 6 Mc Dowell Avenue, Mount Brown, Dublin 8, Dublin",2
162,475000," 22 Russell Avenue , Drumcondra, Dublin 3",2
163,350000," The Old Post Office, Church Cross, Skibbereen,   West Cork",3
164,550000," 7 Oxford Terrace, Hawthorn Terrace, East Wall, Dublin 3",3
165,179500," 6 New Terrace, Abbeyleix, Laois",2
166,580000," 30 Seabury Avenue, Malahide, County Dublin",3
167,485000," 10 Dawson Court, Cross Avenue, Blackrock, Co. Dublin",2
168,1795000," Fairfield Villa, 20 Fairfield Park, Rathgar, Dublin 6",5
169,1295000," 183 Rathmines Road Upper, Rathmines, Dublin 6",5
170,450000," 336 South Circular Road, South Circular Road, Dublin 8",3
171,310000," 2 Fisherman`s Rest, Higher O`Connell Street, Kinsale, Co. Cork",3
172,995000," 13 Clonkeen Road, Deansgrange, Blackrock, County Dublin",4
173,120000," 31 Dean's Lane,Tralee,Co. Kerry,V92 D6DP",2
174,395000," 24 Synnott Row,Phibsborough,Dublin 7,D07 T280",3
175,220000," Drumully,Emyvale,Monaghan,H18Y970",4
176,395000," Avondale,Betaghstown,Clane,Co Kildare,W91E8W6",4
177,185000," Braide, Glencolmcille, Donegal",4
178,450000," Thatched Cottage,Derreendrislagh,Gleesk,Sneem,Co Kerry",4
179,1035000," 2 The Avenue, Cypress Downs, Templeogue, Dublin 6W",4
180,1350000," 3 Bedroom House,Annesley Gardens,Ranelagh,Dublin 6",3
181,2500000," The Charleston Town Homes - 56-59 Charleston Road, Ranelagh, Dublin 6, Ranelagh,   Dublin 6",4
182,240000," 17 Caiseal Na Ri,Golden Road,Cashel",3
183,139000," 52 An Duiche,Tipperary,Co. Tipperary,E34 C568",3
184,695000," 47 Belarmine Drive,Belarmine Woods,Stepaside,Dublin 18,D18 VFE8",4
185,450000," 123 Drimnagh Road, Walkinstown, Dublin 12",3
186,95000," 17 Chapel Lane,Cashel,Tipperary,E25 A393",2
187,775000," 13 Hermitage View,Rathfarnham,Dublin 16,D16 W727",4
188,935000," The Shelby, The Gallops, Clonee, Dublin 15",5
189,249000," 8 Laragh Beg,Ballon,Co Carlow,R93 HX45",4
190,345000," 40 Cedar Avenue, Ridgewood, Swords, Co. Dublin",3
191,550000," 2 Grove Village, Grove Road , Rathmines, Dublin 6",2
192,285000," 25 Racefield, Gouldavoher, Co. Limerick",4
193,235000," 9 Cherry Garth,Brecan Close,Balbriggan,Co. Dublin,K32 YY40",2
194,525000," 83 Collins Avenue, Whitehall, Dublin 9",3
195,299000," 53 Castle Park, D24, Tallaght, Dublin 24",3
196,249000," 5 Millrace, Bealnamulla, Athlone, ., Co. Roscommon",4
197,195000," 29 Woodlands, Virginia Road, Ballyjamesduff, Co. Cavan",4
198,395000," 113 Sugarloaf Crescent, Bray, Co. Wicklow",3
199,425000," 12 Elgin Heights, Bray, Co. Wicklow",3
200,295000," 10 Woodlands, Clonsilla, Dublin 15",3
201,300000," 6 Brookhurst,Collins Avenue,Dunmore Road,Waterford,X91 Y7R0",3
202,1150000," 85 Lower Churchtown Road, Churchtown, Dublin 14",4
203,189500," 3 The Orchard,Rathvilly,Co. Carlow,R93 D436",3
204,239000," Ard Luma, Drummond Otra, Carrickmacross, Co. Monaghan",4
205,295000," Graigue,Ardfert,Co. Kerry,V92PF24",5
206,575000," 69 Glasnevin Avenue, Glasnevin Nth, Dublin 11",3
207,300000," Corliss House, Frances Street, Kilrush, Clare",8
208,205000," 23 Ath Lethan, Racecourse Road, Dundalk, Co. Louth",3
209,695000," 1 Dargle Drive, Rathfarnham, Dublin 14",4
210,345000," 17 Clonliffe Avenue,Drumcondra,Dublin 3,D03 F5Y9",3
211,3750000," 44 Fitzwilliam Square, Dublin 2, South City Centre",5
212,167500," 40 Dun na Ri,Shannon,Co Clare,V14 TX04",2
213,925000," 10 The Court, Donnybrook Castle, Donnybrook, Dublin 4",4
214,220000," Love Lane, Charleville, Cork",4
215,285000," Barnacarroll,Claremorris,Co Mayo,F12 Y5R5",4
216,235000," Bauravilla, Skibbereen, West Cork",6
217,110000," Coolacoosane (Caum),Macroom,Co. Cork.,P12A377",2
218,695000," Kilcaiman, Oranmore, Galway",5
219,270000," 307 Glanntan, Castletroy, Limerick",3
220,485000," Gortybrigane,Birdhill,Co Tipperary,V94 WR0X",4
221,239000," 31 O'Hanlon Park, Dundalk, Co. Louth",4
222,485000," 33 Old Chapel Grove,Caragh,Naas,Co Kildare,W91 VK6H",4
223,100000," 29 Rockhill Holiday Park, Kerrykeel, Co. Donegal",3
224,140000," 38 Athenry Road, Tuam, Galway",3
225,975000," 1 Mount Pleasant Villas, Upper Dargle Road, Bray, Wicklow",5
226,8900000," Summerhill, Marino Avenue West, Killiney, Co. Dublin",7
227,299000," 48 Gort Na Ri,Ennis,Co. Clare,V95 E3YX",5
228,280000," Tullyard, Emyvale, Monaghan",3
229,240000," 1 The Villas, Owenabue Heights, Ballea Road, Carrigaline, Cork",3
230,395000," 20 Arbour Place, Stoneybatter, Dublin 7",2
231,595000," 3 Bluebell Woods, Oranmore, Co. Galway",4
232,525000," 2 Park Heights, Grange Rath, Drogheda, Meath",4
233,249000," 15 Moycullen Road, Ballyfermot,   Dublin 10",3
234,254950," 112 Finglas Road, Finglas, Dublin 11",3
235,690000," Woodfield, Glasheen Road, Glasheen, Cork City",5
236,2850000," Kalafat House, 27 Sorrento Road, Dalkey, County Dublin",4
237,550000," 69A Glasnevin Park,Glasnevin,Dublin 11,D11 DHP5",3
238,360000," Ned Doyle's Lane,Creagh,Gorey,Co. Wexford,Y25P584",4
239,295000," Brook Lodge, Corballis, Rathdrum, Wicklow",3
240,295000," 7 Millers Square, Lusk Village, Lusk, County Dublin",3
241,390000," 24 Saint Brigids Road, Clondalkin, Dublin 22",3
242,295000," 70 St. Samsons Square, Balgriffin, Dublin",3
243,425000," Stoneyford,17 Wilton Avenue,Bishopstown,Cork,T12AE4A",5
244,450000," 1 Ros Nua,Poulavone,Ballincollig,Co Cork,P31FF86",4
245,1700000," 5 Belmont Gardens, Donnybrook, Dublin 4",4
246,595000," 39 IVERAGH ROAD, Gaeltacht Park, Whitehall, Dublin 9",3
247,249000," Old Kerryway Cottage, Tahilla, Sneem, Kerry",2
248,325000," 23 Hollybank Crescent, Clongowen,  Waterford Road, Kilkenny, Kilkenny",4
249,190000," 19 Hunters Green, Gorey, Wexford",2
250,160000," 6 Mount Leinster Park, Tullow Road, Carlow Town, Carlow",3
251,870000," Annamoe, Station Road, Portmarnock,   County Dublin",4
252,1595000," 35 Percy Place, Ballsbridge, Dublin 4",4
253,395000," 9 St Brigids Road, North Strand, Dublin 3",3
254,975000," Prospect,Sallins,Co Kildare,W91 K0E9",5
255,195000," 53 Dominick Street, City Centre Nth, Cork City",3
256,300000," Waterview, Turloughmore, Galway",5
257,159000," 46 John St, Sligo City, Sligo",4
258,330000," Shandrum, Kilgarvan, Kerry",4
259,485000," 68 Oliver Plunkett Road, Dun Laoghaire, Co Dublin",3
260,315000," 48 Raheen Road, Tallaght, Dublin 24",3
262,3750000," Tallon House,4 Golf Lane,Foxrock,Dublin 18,D18 T2N6",3
263,490000," The Grange,Aughrim,Co. Wicklow",4
264,220000," Woodland, Ballyporeen, Tipperary",3
265,320000," 56 Old Bawn Road, Old Bawn, Dublin 24, Oldbawn",4
266,450000," 3 Castlechurch Park, Newcastle, Co. Dublin",4
267,650000," 47 Crumlin Road,, Crumlin, Dublin 12",4
268,260000," 37 St Marys Crescent, Westport, Mayo",3
269,230000," 3 Moylaragh Rise,Balbriggan,Co. Dublin,K32 A522",2
270,297000," 56 The Drive, Harbour Heights, Passage West, Cork",3
271,225000," 18 The Spires,Deans Street, Kilkenny, Kilkenny",2
272,325000," 3 Charlestown Drive, Finglas, Dublin 11",3
273,360000," 3 Fernvale Drive, Crumlin, Dublin 12",3
274,249950," 59 Madeira Wood, The Moyne, Enniscorthy, Co. Wexford",4
275,295000," 88 Rathcurragh, Green Road, Newbridge, Kildare",3
276,315000," 26 Westbrook Close , Balbriggan, County Dublin",3
277,475000," 2 Leinster Crescent, Old Dublin Road, Co. Carlow",4
278,450000," Dunkitt, Kilmacow, Waterford",4
279,495000," 496 Collins Avenue,Whitehall,Dublin 9,D09 PH27",4
280,475000," 71 Kinvara Road, Navan Road, Dublin 7",3
281,525000," 'Glena Ville', Glena Terrace, Spawell Road, Wexford Town, Wexford",6
282,375000," 7 Rinawade View, Leixlip, Kildare",3
283,259000," Moneylagan, Longford, Longford",4
284,1150000," Kincora 58 North Avenue, Mount Merrion, Co. Dublin",4
285,425000," Balcunnin, Skerries, Co. Dublin",4
286,599000," Formally Rosmoney Spa, Rosmoney, Westport, Co. Mayo",6
287,240000," No. 7 Pine Grove, Oak Ridge, Ferrybank, Waterford",3
288,750000," 28 Windsor Terrace, Portobello, Dublin 8",3
289,275000," 36 St Johns Crescent, Clondalkin, Dublin 22",3
290,195000," 82 Preston Brook, Rathangan, Co. Kildare",2
291,349950," 66 Slievenamon Road , Drimnagh,   Dublin 12",2
292,775000," Myrtleville, 14 Victoria Terrace, South Circular Road, Co. Limerick",5
293,600000," Donoughmore, Lisronagh, Clonmel, Co. Tipperary",5
294,1600000," Tone House, Bodenstown, Naas, Co. Kildare. W91W183",4
295,459000," Thomastown, Arklow, Wicklow",5
296,650000," 46 Rathasker Heights, Naas, Co. Kildare",5
297,325000," 23 Maple Lawns, Oldtown Demesne, Naas, Co. Kildare",3
298,425000," 4 Gerald Street, Ringsend, Dublin 4",1
299,320000," Ard Rua, Quarry Road, Gracedieu, Waterford City, Waterford",3
301,259000," Rathuil, Kielty, Athlone, ., Co. Roscommon",3
302,435000," 15 Haddington Square, Beggars Bush, Ballsbridge, Dublin 4",1
303,495000," 6 Rahillion Drive, Donabate,   County Dublin",4
304,375000," 1 The View, Riverbank, Drogheda, Co. Louth",5
305,95000," Foynes, Shanagolden, Limerick",2
306,375000," 15 Shelmalier Road, East Wall, Dublin 3",2
307,245000," Lough Hyne Road, Skibbereen, Cork",3
308,335000," 23 Bramblefield Park, Clonee, Dublin 15",3
309,335000," 32 Beechgrove, Heronswood, Carrigaline, Cork",3
310,249950," 32 Ros Glas Avenue, Monasterevin, Kildare",3
311,235000," 174 Lower Glanmire Road, Glanmire, Cork",2
312,430000," 55 Sutton Grove,Sutton, Bayside, Dublin 13",3
313,195000," No. 38 Oakbrook, Castlelake, Carrigtwohill, Cork",2
314,425000," 22 Woodmount, Ballinderreen, Galway",4
315,405000," Cherryville Blossom, Kildare Town, Kildare",4
316,450000," 11 Charnwood Dale, Clonsilla,   Dublin 15",4
317,575000," 30 The Heights Woodpark, Ballinteer, Dublin 16",3
318,305000," 14 Merchant Sqaure, East Wall,   Dublin 3",2
319,360000," 9 Annfield Drive, Castleknock, Dublin 15",3
320,295000,"  18 Elm Park, Johnstown Wood, Navan, Meath",3
321,750000," Gentle House, Knockanree, Avoca, Wicklow",6
322,2300000," Wish Willow,Whitepark,Arklow,Co. Wicklow,Y14 WY98",4
323,339000," Schrule View, Monbay Lower, Craanford, Wexford",4
324,365000," 16 Castlechurch Park, Newcastle, County Dublin",3
325,715000," 14 Milford, Malahide, Co. Dublin",4
326,295000," 4 Ashgrove Villas, Ballyvolane, Cork",3
327,2500000," 2 Orwell Park, Rathgar,   Dublin 6",5
328,325000," 12 Cois Cuain, Whitegate, Cork",4
329,285000," 2 Ardfield Court, Grange, Douglas, Cork",3
330,485000," 68 Wellesley Manor , Newbridge, Kildare",5
331,380000," 20 Proudstown Road, Navan, Meath",4
332,260000," 321 Landen Road, Ballyfermot, Dublin 10",2
333,550000," Maple Drive, Kilcarn, Navan, Meath",6
334,14000000," 73 Ailesbury Road, Ballsbridge, Dublin 4",7
335,575000," 38 Coolamber Park, Knocklyon, Dublin 16",4
336,385000," 96 Tonlegee Road, Raheny,   Dublin 5",3
337,340000," 371 Boireann Bheag, Roscam, Galway City",4
338,419950," Wilkinstown, Navan, Meath, C15R7N2",4
339,795000," 10 Washington Street,South Circular Road,Dublin 8,D08 F6T1",3
340,250000," Crostera West, Glengarriff,   West Cork",2
341,260000," 5 Laffin's Lane, Arklow, Wicklow",4
342,1200000," Haddon Lodge, Thormanby Rd, Howth,   County Dublin",5
343,545000," Ashleaf House, Great Connell, Newbridge, Kildare",5
344,205000," 29 Figile Manor, Clonbullogue, Offaly",3
345,850000," Lee Carrow,Passage West,Co Cork,T12 AC9R",5
346,450000," 4 Dolphin Avenue, South Circular Road, Dublin",3
347,450000," 6 Bayside Square East, Sutton, Dublin 13",3
348,599000," 275 Collins Avenue,Whitehall,Dublin 9,D09 TF30",3
349,280000," 116 Tubberclaire Meadows, Navan, Meath",4
350,325000," 10 St John's Avenue,Pimlico,Dublin 8,D08 N6R2",2
351,210000," 85 Foxfield, Carrickmacross, Monaghan",3
352,530000," 3 Castle Court,Whitehall Road,Dublin 14,D14 T9K0",3
353,239000," Carrownlacka,Kilmovee,Ballaghdereen,Co Mayo,F45X523",3
354,795000," Snugboro, North Circular Road, Limerick",4
355,425000," 9 Salem Court, Maxwell Road, Rathmines, Dublin 6",2
356,595000," 42 St Begnet's Villas, Dalkey, Co. Dublin",3
357,495000," 14 CIAN PARK, Drumcondra, Dublin 9",3
358,475000," 52 Oldfield, Kingston, Galway",3
359,265000," Ballykeeffe, Ballycallan, Kilkenny",3
360,745000," 14 Sandyford Hall Park, Sandyford, Dublin 18",4
361,380000," 16 Strangford Road, East Wall, Dublin 3",3
362,750000," Churchfields, Ballyvaltron, Kilbride, Wicklow",4
363,475000," 7 The Mews, Robswall, Malahide, Dublin",2
364,525000," 2 Mulvey Park, Dundrum, Dublin 14",3
365,1400000," Cullenswood Lodge, 12 Richmond Avenue South, Dartry, Dublin 6",3
366,349000," Kilmisten,Ardcavan,Co Wexford,Y35HP90",4
367,290000," 31 The Belfry,Trim,Co Meath,C15 T9F9",3
368,525000," 35 Merrion Strand,Sandymount,Dublin 4,D04 P2P4",2
369,550000," 23 Delaford Park, Knocklyon, Dublin 16",3
370,685000," 39 Grattan Park,Salthill,Galway,H91 EWR6",4
371,495000," 15 Eglinton Wood, Eglinton Road, Donnybrook, Dublin 4  D04 RX72",2
372,795000," 7 Dunville Avenue, Ranelagh, Dublin 6",3
373,269500," 32 Park View,Clane,Co Kildare,W91 R9Y6",3
374,149000," Ballygawley,Co. Sligo,F91WY45",2
375,325000," Allenview, Allenwood, ., Naas, Co. Kildare",3
376,350000," Ardagh, Ballina, Mayo",5
377,170000," 4 Shanid Gardens, Shanagolden, Limerick",3
378,895000," 12 St Gabriels, Johnstown Road, Cabinteely, Dublin 18",5
379,500000," 31 Edmondstown Green, Rathfarnham, Dublin 16",3
380,158950," 19 Dooleys Terrace,Athy,Co Kildare,R14 PA07",2
381,550000," Residence at Castlepoint , Schull,   West Cork",4
382,440000," Dunlough,Robinstown,Co Meath,C15 FV08",4
383,395000," 13 Fernleigh Close, Castleknock, Dublin 15",3
384,325000," 100 Northway Estate, Finglas, Dublin 11",3
385,285000," 40 Main Street, Drimoleague,   West Cork",5
386,145000," 10 Clement Court. Lough Rynn , Mohill, Leitrim",4
387,215000," 58 O Molloy Street,Tullamore,Co Offaly,R35P791",4
388,825000," 2 Seafield Close, Blackrock, County Dublin",4
389,420000," 1 The Rath,Sandyhill,Rolestown,Co. Dublin,K67 CD37",3
390,400000," Sleepy Hollow,Wood Road,Cratloe,Co Clare,V95 W0V5",4
391,595000," 13 Templeroan Court, Rathfarnham, Dublin 16",3
392,1100000," Hanover, 69 Churchtown Road Upper, Churchtown, Dublin 14",5
393,385000," Elderfield,Castletown,Co. Laois,R32V6RE",4
394,495000," Coolkirky,Riverstick,Kinsale,Co Cork,P43 PC85",5
395,235000," Hillcrest, 2 The Paddock, Newtown, Ballynoe, Co. Cork",3
396,745000," 5 Annamoe Road, North Circular Road, Dublin 7",4
397,1100000," Chicane, Mullinastill Road, Rathmichael, Dublin 18",4
398,1175000," 4 Woodside, Clontarf, Dublin 3",4
399,229000," 32 Coolraine Heights, Old Cratloe Road, Limerick City, Limerick",3
400,330000," Aughnaseda,Monaghan,Co. Monaghan,H18 X339",4
401,355000," 40 Cairnsfort, Golf Links Road, Castletroy, Limerick",4
402,310000," 2 Fisherman`s Rest, Higher O`Connell Street, Kinsale, Co. Cork",3
403,347500," 12 Rialto Street, Rialto,   Dublin 8",3
404,890000," Ard Caoin,Manorhamilton Road,Sligo,F91P6P8",5
405,270000," Garryduff,Templeboy,Co. Sligo,F91YF97",5
406,325000," 54 Cragaun, Father Russell Road, Limerick, Dooradoyle, Co. Limerick",4
407,395000," 32 Whitechurch View, Rathfarnham, Dublin 16",3
408,430000," 127 The Grove,Celbridge,Co. Kildare,W23 X529",4
409,925000," The Sheldon, The Gallops, Clonee, Meath",5
410,425000," 20 Botanic Road, Glasnevin, Dublin 9",3
411,285000," 124 Meadow Gate,Gorey,Co. Wexford,Y25 X9W2",3
412,250000," 16 Ard Lios,Gorey,Co. Wexford,Y25WP59",3
413,1495000," 124 Leeson Street Upper, Donnybrook,   Dublin 4",4
414,165000," 4 Riverview, Chapelstown Gate, Tullow Road, Carlow Town, Carlow",3
